#x in x/b  	 Gamma in m^2/s 
0.01	-18.528669182884585
0.091	-18.423826795327926
0.182	-18.207742195384277
0.273	-17.80323552278916
0.364	-17.23102409155951
0.455	-16.532195784846234
0.546	-15.515432950020188
0.637	-14.213532316950959
0.728	-12.439186081119864
0.819	-10.590080310659012
0.91	-7.3305590975327135
