#x in x/b  	 Gamma in m^2/s 
0.01	-15.870590155319634
0.091	-15.784678738640075
0.182	-15.60298730857156
0.273	-15.255925408891205
0.364	-14.761340111594391
0.455	-14.167636158340708
0.546	-13.306588643250544
0.637	-12.240976925127265
0.728	-11.099065914235714
0.819	-9.492282131215582
0.91	-6.425379475958313
