#x in x/b  	 Gamma in m^2/s 
0.01	-19.07874660954739
0.091	-18.972908826896145
0.182	-18.75394363765131
0.273	-18.340901200080467
0.364	-17.75722173083559
0.455	-17.049791507346278
0.546	-16.01264400485524
0.637	-14.691168695291253
0.728	-12.8136091884719
0.819	-10.782981803271932
0.91	-7.5003822141327685
