-1.2 	0.25 	0.91 	58.966164 	22.583465 	5.463427
-1.2 	0.2496997 	0.91 	58.932685 	22.712268 	5.5100521
-1.2 	0.2493994 	0.91 	58.899205 	22.84107 	5.5566772
-1.2 	0.2490991 	0.91 	58.879459 	22.932713 	5.5972324
-1.2 	0.2487988 	0.91 	58.855066 	23.018487 	5.6380257
-1.2 	0.2484985 	0.91 	58.758637 	23.176597 	5.6985887
-1.2 	0.2481982 	0.91 	58.695765 	23.329105 	5.7547945
-1.2 	0.2478979 	0.91 	58.658392 	23.477357 	5.8076898
-1.2 	0.2475976 	0.91 	58.62102 	23.625609 	5.860585
-1.2 	0.2472973 	0.91 	58.583647 	23.773861 	5.9134802
-1.2 	0.246997 	0.91 	58.546274 	23.922113 	5.9663754
-1.2 	0.2466967 	0.91 	58.508124 	24.067231 	6.0217702
-1.2 	0.2463964 	0.91 	58.511244 	24.162817 	6.0618852
-1.2 	0.2460961 	0.91 	58.452106 	24.297362 	6.1168056
-1.2 	0.2457958 	0.91 	58.310486 	24.485548 	6.1918875
-1.2 	0.2454955 	0.91 	58.267232 	24.653085 	6.2533417
-1.2 	0.2451952 	0.91 	58.224441 	24.825665 	6.3112438
-1.2 	0.24489489 	0.91 	58.181649 	24.998246 	6.3691459
-1.2 	0.24459459 	0.91 	58.138857 	25.170827 	6.427048
-1.2 	0.24429429 	0.91 	58.096065 	25.343408 	6.4849501
-1.2 	0.24399399 	0.91 	58.066835 	25.494606 	6.5382531
-1.2 	0.24369369 	0.91 	58.06932 	25.595802 	6.5808007
-1.2 	0.24339339 	0.91 	57.934985 	25.799665 	6.6612948
-1.2 	0.24309309 	0.91 	57.83832 	26.000581 	6.7336415
-1.2 	0.24279279 	0.91 	57.789065 	26.188391 	6.7948806
-1.2 	0.24249249 	0.91 	57.73981 	26.376201 	6.8561197
-1.2 	0.24219219 	0.91 	57.690555 	26.56401 	6.9173588
-1.2 	0.24189189 	0.91 	57.641299 	26.75182 	6.9785979
-1.2 	0.24159159 	0.91 	57.592153 	26.935018 	7.0437807
-1.2 	0.24129129 	0.91 	57.601771 	27.055766 	7.0866416
-1.2 	0.24099099 	0.91 	57.528932 	27.228453 	7.152708
-1.2 	0.24069069 	0.91 	57.359785 	27.469614 	7.2481677
-1.2 	0.24039039 	0.91 	57.29269 	27.66383 	7.3176054
-1.2 	0.24009009 	0.91 	57.224457 	27.86306 	7.3812687
-1.2 	0.23978979 	0.91 	57.156225 	28.062289 	7.444932
-1.2 	0.23948949 	0.91 	57.087992 	28.261518 	7.5085953
-1.2 	0.23918919 	0.91 	57.019759 	28.460748 	7.5722586
-1.2 	0.23888889 	0.91 	56.95691 	28.649506 	7.6337873
-1.2 	0.23858859 	0.91 	56.943652 	28.741799 	7.675652
-1.2 	0.23828829 	0.91 	56.798452 	28.980236 	7.7659118
-1.2 	0.23798799 	0.91 	56.653495 	29.217162 	7.8492576
-1.2 	0.23768769 	0.91 	56.536422 	29.421977 	7.9156442
-1.2 	0.23738739 	0.91 	56.41935 	29.626792 	7.9820307
-1.2 	0.23708709 	0.91 	56.302278 	29.831606 	8.0484172
-1.2 	0.23678679 	0.91 	56.185205 	30.036421 	8.1148037
-1.2 	0.23648649 	0.91 	56.068133 	30.241236 	8.1811903
-1.2 	0.23618619 	0.91 	55.953772 	30.440161 	8.2548168
-1.2 	0.23588589 	0.91 	55.867354 	30.588272 	8.3106947
-1.2 	0.23558559 	0.91 	55.740852 	30.758538 	8.3808429
-1.2 	0.23528529 	0.91 	55.533885 	31.011798 	8.490233
-1.2 	0.23498498 	0.91 	55.367056 	31.211163 	8.5789586
-1.2 	0.23468468 	0.91 	55.197735 	31.417415 	8.657791
-1.2 	0.23438438 	0.91 	55.02825 	31.624119 	8.7359745
-1.2 	0.23408408 	0.91 	54.858766 	31.830822 	8.814158
-1.2 	0.23378378 	0.91 	54.689281 	32.037526 	8.8923415
-1.2 	0.23348348 	0.91 	54.519796 	32.244229 	8.970525
-1.2 	0.23318318 	0.91 	54.353219 	32.444799 	9.0470976
-1.2 	0.23288288 	0.91 	54.220427 	32.564118 	9.1018413
-1.2 	0.23258258 	0.91 	53.903939 	32.985038 	9.22997
-1.2 	0.23228228 	0.91 	53.653592 	33.298065 	9.3240449
-1.2 	0.23198198 	0.91 	53.403245 	33.611092 	9.4181197
-1.2 	0.23168168 	0.91 	53.152898 	33.92412 	9.5121946
-1.2 	0.23138138 	0.91 	52.902551 	34.237147 	9.6062695
-1.2 	0.23108108 	0.91 	52.652204 	34.550174 	9.7003443
-1.2 	0.23078078 	0.91 	52.403362 	34.858907 	9.8022187
-1.2 	0.23048048 	0.91 	52.177683 	35.123062 	9.898608
-1.2 	0.23018018 	0.91 	51.982532 	35.265366 	9.9587471
-1.2 	0.22987988 	0.91 	51.461183 	35.746344 	10.114318
-1.2 	0.22957958 	0.91 	51.162305 	36.024708 	10.239221
-1.2 	0.22927928 	0.91 	50.90611 	36.268543 	10.352743
-1.2 	0.22897898 	0.91 	50.658404 	36.516115 	10.450574
-1.2 	0.22867868 	0.91 	50.410698 	36.763688 	10.548405
-1.2 	0.22837838 	0.91 	50.162992 	37.011261 	10.646237
-1.2 	0.22807808 	0.91 	49.915286 	37.258834 	10.744068
-1.2 	0.22777778 	0.91 	49.66758 	37.506407 	10.841899
-1.2 	0.22747748 	0.91 	49.62511 	37.440452 	10.908506
-1.2 	0.22717718 	0.91 	49.654387 	37.264894 	10.964197
-1.2 	0.22687688 	0.91 	49.417777 	37.2592 	11.053969
