#x in x/b  	 Gamma in m^2/s 
0.01	-22.571401324657693
0.091	-22.443328004752544
0.182	-22.168362238013266
0.273	-21.659157202761804
0.364	-20.935853840159226
0.455	-20.073452024031177
0.546	-18.855663151670466
0.637	-17.41236461796975
0.728	-15.543858102194523
0.819	-13.118609773869037
0.91	-9.156866889053834
